disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
1996-08-14 19:30:00,36,235,237,691,394,3100000000000000,-4.7,0.6,99883,480,0.9,0.04,2.59
1996-11-28 16:50:00,89,101,267,984,1180,4000000000000000,-4.2,-0.9,31127,397,0.9,0.008,2.01
1996-12-19 16:30:00,95,130,265,469,394,510000000000000,0.4,0.1,14435,323,-3.3,0.006,0.87
1997-01-06 15:10:00,81,360,180,136,224,580000000000000,3,1.8,35501,367,-1.4,0.011,2.75
1997-02-07 00:30:00,60,360,266,490,718,4100000000000000,1.8,2.3,34874,375,0.6,0.022,1.23
1997-04-07 14:27:00,73,360,123,878,905,1E+016,1.5,-0.3,68523,396,-1.1,0.034,1.22
1997-05-12 05:30:00,68,360,264,464,335,4200000000000000,-1.5,0.9,13795,294,-1.5,0.003,2.16
1997-05-21 21:00:00,98.5,165,267,296,322,2200000000000000,-4.4,1,33654,360,4.2,0.017,3.51
1997-07-30 04:45:00,99,360,269,104,119,820000000000000,-3,0.8,26118,357,-0.8,0.01,1.66
1997-08-30 01:30:00,97.5,360,67,371,460,1700000000000000,-2.1,0.8,111785,440,-0.5,0.047,2.5
1997-09-17 20:28:00,94.5,360,263,377,377,2600000000000000,-2.3,-7.3,27451,350,-0.1,0.005,4.97
1997-09-28 01:08:00,71.5,360,87,359,404,4000000000000000,2.6,-2.8,154198,458,3.8,0.038,1.82
1997-10-06 15:28:00,96,174,130,293,524,2900000000000000,0.1,-0.1,36654,337,-2.4,0.018,2.85
1997-10-21 01:27:00,54,91,117,570,582,2500000000000000,0.2,1,21497,305,3.7,0.006,2.15
1997-10-21 18:04:00,64,360,90,523,491,950000000000000,-0.16,0.1,100292,444,-0.3,0.04,2.49
1997-11-04 06:10:00,64,360,243,785,548,7500000000000000,-0.6,-0.8,46194,332,-1,0.007,1.23
1997-12-06 10:27:00,90.5,223,296,397,567,2E+016,-4,2.6,33251,348,3,0.029,0.93
1997-12-26 02:31:00,95,230,106,197,276,1900000000000000,1.9,0,42288,305,-0.3,0.021,1.31
1998-01-02 23:28:00,86,360,275,438,548,5500000000000000,-1.8,-0.4,64558,372,0.7,0.042,1.27
1998-01-17 04:09:00,94.5,360,82,350,471,1600000000000000,-5.4,-3.7,20585,345,1.5,0.015,2.4
1998-01-21 06:37:00,71,360,179,361,389,2600000000000000,11.2,9.4,96057,446,-1.5,0.063,4.74
1998-01-25 15:26:00,72,360,112,693,611,1.1E+016,-3,2.6,50304,410,-0.9,0.011,2.37
1998-02-14 06:55:00,69,206,164,123,138,1900000000000000,3.4,0.8,48540,345,0,0.043,1.14
1998-02-28 12:48:00,94.5,169,282,176,225,490000000000000,2.2,7.5,112951,356,-3.8,0.011,3.34
1998-04-20 10:07:00,79,243,278,1863,2063,2.4E+016,-5,7.1,116997,403,-3.6,0.035,1.45
1998-04-27 08:56:00,71,360,79,1385,1743,2.2E+016,-0.2,1.5,115689,474,-0.8,0.04,1.92
1998-04-29 16:58:00,52,360,336,1374,1151,1E+016,1.3,-0.3,20134,321,-1.4,0.021,1.36
1998-05-01 23:40:00,41,360,126,585,657,6800000000000000,-10.3,-6.8,55171,644,3,0.045,6.54
1998-05-02 14:06:00,36,360,331,938,697,7700000000000000,10.4,-4.4,21704,574,2,0.093,6.27
1998-05-12 08:55:00,77,225,228,1073,1016,6100000000000000,2,-2.1,111950,470,-0.5,0.053,1.83
1998-05-27 13:46:00,49,268,306,878,843,1.1E+016,-0.5,-2.3,20457,350,0.7,0.019,2.58
1998-06-09 09:27:00,105,130,219,124,164,1700000000000000,2.7,3.7,83780,464,4.2,0.075,1.31
1998-06-22 07:34:00,80,119,199,278,412,4200000000000000,-0.9,-2.7,67124,408,0.4,0.05,1.97
1998-10-15 10:04:00,80.5,360,264,262,322,1514320517225656,-0.4,-3.8,167936,413,4.1,0.026,2.45
1998-11-04 07:54:00,71.5,360,349,523,723,1514320517225656,-2.4,0.2,86373,367,-0.9,0.016,1.36
1998-11-05 20:44:00,55.5,360,300,1118,949,1514320517225656,1.6,-2.3,37034,412,-1.8,0.013,1.4
1998-11-08 11:54:00,90,196,214,559,588,1514320517225656,0.8,22.1,109173,540,1.3,0.066,10.22
1998-11-09 18:18:00,78.5,190,338,325,348,1514320517225656,-1.8,2.8,14457,432,-0.7,0.065,2
1999-03-07 03:26:00,69,101,86,306,305,1000000000000000,-1.3,-4.3,73351,460,-0.7,0.031,2.9
1999-04-13 03:30:00,79,261,194,291,293,1400000000000000,-0.4,-1.1,75863,425,-4,0.03,0.78
1999-04-18 08:30:00,55,112,53,475,544,1200000000000000,-4.3,1.4,63832,404,1.4,0.007,2.8
1999-05-03 06:06:00,56,360,88,1584,1658,1E+016,1.8,-0.8,104089,512,-2.1,0.042,0.97
1999-06-22 18:54:00,79,360,40,1133,934,9.7E+015,-0.2,-1.1,30489,298,0.5,0.009,1.04
